"n" "mu" "rep" "id" "mu_hat" "error" "errorMessage"
600 0.5 724 130 0.510650798243518 FALSE ""
1200 0.25 603 131 0.248523266423326 FALSE ""
1000 2 821 132 1.99711612619187 FALSE ""
800 0.5 591 133 0.491163349519735 FALSE ""
200 0.5 670 134 0.461060695768981 FALSE ""
1200 0.25 102 135 0.248913071901593 FALSE ""
400 2 401 136 1.99414942698429 FALSE ""
800 2 828 137 2.0447486696492 FALSE ""
400 0.5 145 138 0.507241387595131 FALSE ""
800 0.5 578 139 0.516925433495611 FALSE ""
600 1 301 140 1.01865919233261 FALSE ""
1000 1 320 141 1.01053191861718 FALSE ""
400 1 352 142 1.0024699883996 FALSE ""
200 1 345 143 0.945607803882631 FALSE ""
1200 2 218 144 1.99274010759003 FALSE ""
600 0.25 825 145 0.246959211711049 FALSE ""
200 0.5 815 146 0.483351295112186 FALSE ""
1200 0.5 91 147 0.502194094108117 FALSE ""
1200 0.5 202 148 0.502266112894094 FALSE ""
400 1 480 149 1.01516542095633 FALSE ""
800 1 351 150 0.998874264480234 FALSE ""
1000 0.5 716 151 0.50067912713702 FALSE ""
1000 0.25 266 152 0.250757023452821 FALSE ""
600 0.25 586 153 0.245992324314132 FALSE ""
400 1 186 154 0.970174694673795 FALSE ""
1000 1 434 155 0.987570931418571 FALSE ""
400 1 460 156 0.980785457071726 FALSE ""
400 0.25 309 157 0.255580856473596 FALSE ""
1200 0.25 674 158 0.250591950935647 FALSE ""
200 1 713 159 1.03206628480798 FALSE ""
1200 0.25 726 160 0.25177322946217 FALSE ""
400 0.5 138 161 0.503641264907518 FALSE ""
1200 2 415 162 1.93337419821859 FALSE ""
1200 2 413 163 2.00340191233646 FALSE ""
1200 0.5 869 164 0.487665205772647 FALSE ""
800 2 846 165 1.97145185839518 FALSE ""
800 1 811 166 0.992805775497832 FALSE ""
400 0.25 160 167 0.244434962083739 FALSE ""
400 0.5 418 168 0.511998224886263 FALSE ""
400 0.25 78 169 0.237953509863314 FALSE ""
800 0.25 852 170 0.242938950501151 FALSE ""
800 0.25 608 171 0.245072413500449 FALSE ""
1000 0.5 71 172 0.496824365831206 FALSE ""
400 2 326 173 2.00780892583973 FALSE ""
800 1 58 174 1.01080538984624 FALSE ""
1000 2 486 175 1.96643658676683 FALSE ""
600 0.5 448 176 0.48481478227354 FALSE ""
800 2 234 177 2.06864743674598 FALSE ""
1000 0.25 520 178 0.254998797817625 FALSE ""
600 2 144 179 1.98531793346309 FALSE ""
1200 0.25 175 180 0.247445246995081 FALSE ""
1200 1 768 181 1.00072483505711 FALSE ""
1200 0.5 469 182 0.487604233033182 FALSE ""
400 2 320 183 2.00680975224627 FALSE ""
800 0.25 558 184 0.253215638932126 FALSE ""
200 1 991 185 0.997437722709772 FALSE ""
600 0.25 228 186 0.252392628707972 FALSE ""
1000 0.5 949 187 0.501980863786153 FALSE ""
600 1 82 188 0.995297463070801 FALSE ""
400 0.25 751 189 0.251080855910586 FALSE ""
1000 2 380 190 2.03533498372242 FALSE ""
600 1 720 191 0.986303667215474 FALSE ""
1000 0.5 151 192 0.497549376079742 FALSE ""
400 0.5 837 193 0.508619383658561 FALSE ""
1000 1 378 194 0.995283944733999 FALSE ""
600 0.5 472 195 0.511528882897381 FALSE ""
600 2 64 196 2.00293856480683 FALSE ""
200 0.5 752 197 0.475674277330656 FALSE ""
1200 2 962 198 1.9966212054973 FALSE ""
1200 0.5 226 199 0.499498858332939 FALSE ""
600 0.25 978 200 0.25018512690694 FALSE ""
800 0.25 212 201 0.245905645266716 FALSE ""
1000 1 959 202 1.02456196926541 FALSE ""
1200 0.25 616 203 0.252090730854637 FALSE ""
1200 2 576 204 2.01086013666398 FALSE ""
200 0.5 788 205 0.506922592406833 FALSE ""
200 0.5 449 206 0.495523730708632 FALSE ""
200 0.5 53 207 0.506442185866177 FALSE ""
400 1 261 208 1.01315945577314 FALSE ""
600 0.25 779 209 0.253483753942389 FALSE ""
1200 0.5 942 210 0.498804728672953 FALSE ""
800 1 339 211 1.00954628566234 FALSE ""
1000 0.25 452 212 0.24929513134431 FALSE ""
1000 0.25 998 213 0.250568146928117 FALSE ""
800 2 901 214 2.03597462907713 FALSE ""
400 2 27 215 2.00792387496637 FALSE ""
400 0.25 344 216 0.255694933663006 FALSE ""
1000 2 824 217 2.02621065634616 FALSE ""
600 0.5 462 218 0.511143833051097 FALSE ""
600 0.25 459 219 0.256236773497273 FALSE ""
200 2 188 220 1.99027321596332 FALSE ""
400 0.5 889 221 0.504731611071505 FALSE ""
600 1 380 222 1.02004683329754 FALSE ""
200 2 356 223 1.97247674864881 FALSE ""
1200 0.25 785 224 0.251504804929192 FALSE ""
200 2 658 225 1.96054408242372 FALSE ""
800 0.25 982 226 0.248559995539537 FALSE ""
600 1 362 227 1.01479380220231 FALSE ""
800 1 106 228 0.981058832122239 FALSE ""
400 2 635 229 2.0127780409615 FALSE ""
1200 0.5 589 230 0.500733622351189 FALSE ""
600 0.5 880 231 0.489519060005544 FALSE ""
400 0.25 709 232 0.245781489250667 FALSE ""
1000 0.25 46 233 0.248666994773237 FALSE ""
1200 2 801 234 2.02353313700451 FALSE ""
400 0.5 870 235 0.498009571301784 FALSE ""
200 2 776 236 2.12605142759053 FALSE ""
1000 0.5 799 237 0.512081981068058 FALSE ""
600 2 550 238 1.95816397217793 FALSE ""
1200 0.25 968 239 0.247335464545548 FALSE ""
600 1 294 240 0.99896602314082 FALSE ""
200 2 129 241 1.97326269485997 FALSE ""
800 0.5 528 242 0.490108537503813 FALSE ""
1200 0.25 203 243 0.253518231211035 FALSE ""
1200 2 421 244 2.04670010833598 FALSE ""
600 1 983 245 1.02354114712951 FALSE ""
200 2 433 246 1.96740615275395 FALSE ""
400 1 194 247 1.00171847475285 FALSE ""
1000 1 138 248 0.99348893418499 FALSE ""
1000 2 388 249 1.98522209521775 FALSE ""
600 0.25 575 250 0.247651548479354 FALSE ""
1200 1 329 251 1.00943484572947 FALSE ""
1000 2 816 252 1.99790507150757 FALSE ""
800 2 513 253 2.06666561793043 FALSE ""
1000 0.5 594 254 0.513208647683838 FALSE ""
800 1 626 255 0.995709917695139 FALSE ""
800 0.5 900 256 0.50247828676552 FALSE ""
800 2 191 257 1.9953812027496 FALSE ""
600 0.25 126 258 0.251099559663748 FALSE ""
800 2 182 259 2.03488828755673 FALSE ""
400 0.25 276 260 0.251665125774032 FALSE ""
800 0.25 137 261 0.250713036233183 FALSE ""
1200 0.5 667 262 0.503769171194097 FALSE ""
200 1 226 263 1.01251868532515 FALSE ""
200 0.5 176 264 0.523301435086433 FALSE ""
800 0.5 540 265 0.500669658241606 FALSE ""
400 0.5 400 266 0.502206541388565 FALSE ""
800 2 751 267 1.97171368438628 FALSE ""
1200 2 129 268 2.00456477489272 FALSE ""
1000 0.5 525 269 0.505010123533804 FALSE ""
400 0.25 41 270 0.245803711274573 FALSE ""
800 1 968 271 0.964315404227953 FALSE ""
200 0.25 57 272 0.247267914749832 FALSE ""
600 0.25 688 273 0.255521241243805 FALSE ""
1200 1 155 274 0.98579804469032 FALSE ""
200 1 568 275 0.967765587025476 FALSE ""
600 1 393 276 1.03246696852197 FALSE ""
400 1 890 277 0.9779995175139 FALSE ""
200 2 280 278 2.01364809149507 FALSE ""
200 0.5 204 279 0.513269579046223 FALSE ""
800 2 869 280 2.07011799569133 FALSE ""
600 2 642 281 2.0134385324114 FALSE ""
800 0.25 173 282 0.254566956615203 FALSE ""
1000 1 722 283 0.98998405635898 FALSE ""
200 0.5 966 284 0.509070728141316 FALSE ""
800 1 362 285 0.999386168098836 FALSE ""
600 0.5 126 286 0.482227385937032 FALSE ""
1200 1 952 287 0.998564745312218 FALSE ""
600 0.25 587 288 0.250670104859139 FALSE ""
600 0.25 946 289 0.253710770273089 FALSE ""
1000 0.25 105 290 0.247043843168474 FALSE ""
600 0.25 954 291 0.251447666308423 FALSE ""
600 0.5 3 292 0.49529564404364 FALSE ""
600 0.5 328 293 0.502507035608873 FALSE ""
1000 2 168 294 2.02985554495315 FALSE ""
400 0.5 103 295 0.496615184279147 FALSE ""
1000 0.25 581 296 0.249893416253776 FALSE ""
800 2 67 297 1.92696870938852 FALSE ""
1200 1 900 298 0.998819392541836 FALSE ""
600 1 367 299 1.01843922121276 FALSE ""
200 0.25 320 300 0.249743966744041 FALSE ""
1200 2 900 301 NA FALSE ""
1000 0.5 655 302 0.496364826795371 FALSE ""
800 1 320 303 0.97160876742834 FALSE ""
1200 2 742 304 2.008661931803 FALSE ""
1000 1 654 305 1.00243557126424 FALSE ""
1200 0.25 308 306 0.247421458435197 FALSE ""
200 2 847 307 1.93172128450291 FALSE ""
800 2 992 308 2.02452609977246 FALSE ""
800 1 537 309 0.974600826761769 FALSE ""
1000 1 605 310 1.00444315399249 FALSE ""
1200 1 665 311 0.970750929479609 FALSE ""
800 2 433 312 1.97132651851205 FALSE ""
1000 2 394 313 2.01581559033132 FALSE ""
1000 0.25 429 314 0.247847105705208 FALSE ""
1200 1 222 315 0.991372078494064 FALSE ""
1000 1 242 316 0.995010578004514 FALSE ""
1000 0.25 948 317 0.251873225286784 FALSE ""
600 0.25 926 318 0.245334415866339 FALSE ""
1200 1 36 319 0.985961618382509 FALSE ""
600 0.25 23 320 0.248786932390139 FALSE ""
600 0.5 168 321 0.494033265852486 FALSE ""
200 0.25 376 322 0.256781051599339 FALSE ""
400 2 347 323 2.00792760998474 FALSE ""
800 0.5 310 324 0.507159071086091 FALSE ""
400 2 24 325 1.93585370690925 FALSE ""
200 1 218 326 1.01065410931091 FALSE ""
800 1 403 327 1.00698080158614 FALSE ""
200 1 74 328 0.968860852738041 FALSE ""
1200 0.25 617 329 0.250234523726161 FALSE ""
1200 2 379 330 1.98288781901224 FALSE ""
1000 1 248 331 1.02907184793857 FALSE ""
400 2 404 332 2.08143961474788 FALSE ""
800 0.5 945 333 0.499677973752691 FALSE ""
600 0.25 677 334 0.248085953511738 FALSE ""
800 2 931 335 2.00309696114812 FALSE ""
400 0.5 853 336 0.507850347823777 FALSE ""
600 0.5 1 337 0.500737766296496 FALSE ""
1200 1 797 338 1.00070485643246 FALSE ""
200 0.5 85 339 0.500761093891944 FALSE ""
800 0.25 390 340 0.252873983696927 FALSE ""
400 2 915 341 1.90378689625104 FALSE ""
400 2 139 342 1.97284804981474 FALSE ""
400 2 779 343 1.89742989515428 FALSE ""
800 1 737 344 1.00031932495755 FALSE ""
400 2 126 345 2.05514397064324 FALSE ""
800 0.5 871 346 0.50442803775901 FALSE ""
600 2 894 347 1.98397328402074 FALSE ""
200 0.25 361 348 0.258579906836263 FALSE ""
800 0.5 749 349 0.491562200756591 FALSE ""
600 1 902 350 0.996117018350157 FALSE ""
200 2 598 351 2.01775149723583 FALSE ""
400 1 790 352 1.01141082230035 FALSE ""
600 1 537 353 1.00693736901057 FALSE ""
800 1 407 354 0.996682220878968 FALSE ""
1000 0.25 733 355 0.2511823610459 FALSE ""
1000 2 243 356 1.98395160094543 FALSE ""
600 0.5 835 357 0.488672144955242 FALSE ""
1200 1 71 358 0.990146574530017 FALSE ""
200 0.25 313 359 0.266779088419929 FALSE ""
1000 2 170 360 1.97684006091378 FALSE ""
