"n" "mu" "rep" "id" "mu_hat" "error" "errorMessage"
500 0.25 233 131 0.252930508453594 FALSE ""
100 0.25 373 132 0.238657763709013 FALSE ""
50 0.25 803 133 0.243043768858569 FALSE ""
100 0.25 74 134 0.250610179247372 FALSE ""
500 2 450 135 1.9925666530114 FALSE ""
100 1 33 136 0.997191269969711 FALSE ""
50 1 511 137 1.07275184568908 FALSE ""
50 0.25 451 138 0.25537090256515 FALSE ""
1000 0.5 579 139 0.491174683117772 FALSE ""
1000 0.25 84 140 0.24952552480083 FALSE ""
1000 0.5 109 141 0.5118772685232 FALSE ""
50 0.25 650 142 0.259540817275911 FALSE ""
100 2 914 143 1.98136616449144 FALSE ""
100 2 539 144 1.98133698885183 FALSE ""
50 0.25 956 145 0.262447233877831 FALSE ""
100 2 390 146 1.97643123546502 FALSE ""
50 0.25 523 147 0.250213225132613 FALSE ""
50 2 993 148 1.86652363276279 FALSE ""
1000 1 8 149 0.988524332770931 FALSE ""
50 1 862 150 1.0169857913723 FALSE ""
500 1 564 151 0.997843395482894 FALSE ""
500 1 963 152 0.972014767332015 FALSE ""
500 0.5 697 153 0.499112831545307 FALSE ""
50 0.25 679 154 0.268285497197029 FALSE ""
500 2 283 155 1.9717684913896 FALSE ""
500 0.25 457 156 0.246989419729656 FALSE ""
100 0.5 632 157 0.461732426842681 FALSE ""
50 0.25 955 158 0.26126572497298 FALSE ""
1000 2 832 159 2.02606214400531 FALSE ""
500 0.25 385 160 0.249451749478683 FALSE ""
500 0.5 278 161 0.489179018464872 FALSE ""
50 1 60 162 1.09095595992471 FALSE ""
50 2 28 163 1.94398077178848 FALSE ""
1000 0.5 165 164 0.503822278565935 FALSE ""
100 0.5 585 165 0.520271177345102 FALSE ""
100 2 823 166 2.08559766110484 FALSE ""
50 1 110 167 1.02884623818746 FALSE ""
1000 1 256 168 0.998938319781065 FALSE ""
500 0.5 174 169 0.493630118029705 FALSE ""
100 2 947 170 1.91514206430376 FALSE ""
50 2 118 171 1.9244832629886 FALSE ""
100 1 894 172 1.00191820403322 FALSE ""
1000 1 341 173 1.01257792888256 FALSE ""
1000 2 42 174 1.99486552804884 FALSE ""
100 0.5 715 175 0.501379492121124 FALSE ""
1000 0.25 355 176 0.25301483530109 FALSE ""
500 1 726 177 1.02143466951866 FALSE ""
1000 1 496 178 0.999191006696097 FALSE ""
50 1 127 179 1.05870221740434 FALSE ""
100 0.25 364 180 0.260593546469535 FALSE ""
50 1 16 181 1.00555637017442 FALSE ""
50 2 259 182 1.9902359701019 FALSE ""
100 2 827 183 1.86149889004174 FALSE ""
1000 0.25 817 184 0.246619991676838 FALSE ""
50 0.5 545 185 0.488341254881693 FALSE ""
1000 1 535 186 0.997580418073714 FALSE ""
1000 0.25 818 187 0.247010169991075 FALSE ""
500 1 929 188 1.00832447185655 FALSE ""
500 2 500 189 1.98969080981884 FALSE ""
1000 0.5 754 190 0.498165681532545 FALSE ""
1000 2 365 191 2.00160443086283 FALSE ""
500 2 323 192 1.97750097411235 FALSE ""
1000 1 173 193 1.00740797029296 FALSE ""
1000 0.25 675 194 0.243670690000942 FALSE ""
100 0.5 100 195 0.509994079035389 FALSE ""
100 2 435 196 2.00087346694549 FALSE ""
1000 2 151 197 2.00489179083003 FALSE ""
